OBJECTID,HUC_12,pCanopy
1,010100020101,77.691733392542432
2,010100020102,76.552596142873440
3,010100020103,78.242491766347925
4,010100020104,77.493280472005864
5,010100020105,75.656061743979805
6,010100020201,78.046229954240019
7,010100020202,78.263772790747993
8,010100020203,76.439896258469204
9,010100020204,75.883236145659183
10,010100020301,78.463221292236838
11,010100020302,76.124679311478999
12,010100020303,76.550511152416362
13,010100020304,74.942988424594745
14,010100020305,76.801171803820978
15,010100020306,76.127315812149931
16,010100020307,77.720887562803298
17,010100020308,75.380447260364690
18,010100020401,76.789881956155142
19,010100020402,77.509864103547841
20,010100020403,77.325745847106575
21,010100020404,77.173695147292506
22,010100020405,76.527976381748076
23,010100020406,77.679642629227828
24,010100020501,77.981864519869177
25,010100020502,77.853223191962854
26,010100020503,75.586647889468281
27,010100020504,75.528067328905436
28,010100020505,74.424684105519844
29,010100020601,71.285198877555572
30,010100020602,75.562397258593478
31,010100020701,77.848375892769781
32,010100020702,77.630935910261599
33,010100020703,75.704468521866801
34,010100020704,74.447312145122041
35,010100020705,72.636327216478790
36,010100020706,72.925546729430224
37,010100020707,75.645316538427267
38,010100020708,75.892320396366642
39,010100020709,74.077807732464819
40,010100020710,70.615758348101394
41,010100020711,74.482685317148949
42,010100030101,76.287287856225348
43,010100030102,77.602901341186026
44,010100030103,81.405818598947832
45,010100030104,76.669643110644216
46,010100030105,76.135410502482827
47,010100030201,76.733328868349972
48,010100030202,71.047238212418151
49,010100030203,71.985836348709213
50,010100030204,70.783942813256928
51,010100030205,72.300846399172769
52,010100030206,67.990865741398636
53,010100030207,71.737488618756288
54,010100030301,49.583018210100036
55,010100030302,53.226838781975303
56,010100030303,67.154900146273022
57,010100030304,43.495460129252791
58,010100030305,52.786194054665160
59,010100030306,65.420320215472088
60,010100030307,69.796134466054866
61,010100030308,68.096417241552942
62,010100030309,72.522791934043568
63,010100030310,72.328983719688154
64,010100030401,71.917258280879167
65,010100030402,47.072417757795208
66,010100030403,58.061107682813947
67,010100040101,77.095830833833233
68,010100040102,73.129901113032687
69,010100040103,75.183785144775499
70,010100040104,74.344616354750812
71,010100040201,75.098202824133509
72,010100040202,77.864889854823801
73,010100040203,72.412022790286713
74,010100040301,75.453284080674038
75,010100040302,70.296369233122377
76,010100040303,74.702118655047030
77,010100040304,75.967292021982189
78,010100040305,68.001879345987589
79,010100040306,74.425196932438624
80,010100040401,70.874159862969634
81,010100040402,69.361453584749270
82,010100040501,72.963988299926257
83,010100040502,65.984033142786018
84,010100040503,71.784950565389849
85,010100040504,70.346634446578676
86,010100040505,71.431753333218040
87,010100040506,70.092485983556045
88,010100040601,73.572453597270282
89,010100040602,72.064946933349944
90,010100040603,72.918172824344154
91,010100040604,70.986203852943433
92,010100040605,71.106629661130754
93,010100040606,71.285196707448577
94,010100040701,79.237319760085214
95,010100040702,75.510865077875778
96,010100040703,75.583837076046919
97,010100040801,71.679559136608574
98,010100040802,72.857432012665583
99,010100040803,74.651311698182738
100,010100040804,74.238326423739906
101,010100040805,73.926898191896768
102,010100040901,69.807131920073800
103,010100040902,74.658678641294685
