HUC_12,Name
010700050103,Lake Cochituate-Sudbury River
010700050104,Hop Brook-Sudbury River
010700050204,Elizabeth Brook-Assabet River
010700050205,River Meadow Brook
010700050206,Mill Brook-Concord River
010700061301,Upper Shawsheen River
010700061302,Middle Shawsheen River
010900010201,Upper Ipswich River
010900010202,Middle Ipswich River
010900010401,Headwaters Saugus River
010900010402,Outlet Saugus River
010900010501,Aberjona River
010900010502,Mystic River
010900010602,Chicken Brook-Charles River
010900010603,Bogastow Brook
010900010604,Stop River-Charles River
010900010701,Fuller Brook-Charles River
010900010702,Stony Brook
010900010703,Beaver Brook-Charles River
010900010704,Outlet Charles River
010900010801,Headwaters Neponset River
010900010802,East Branch Neponset River
010900010803,Outlet Neponset River
010900010901,Monatiquot River
010900010902,Weir River
010900010903,Hingham Bay-Frontal Quincy Bay
010900011003,North River-Massachusetts Bay
010900011005,Boston Harbor
010900011006,Broad Sound-Massachusetts Bay
010900011007,Nahant Bay-Massachusetts Bay
010900011008,Martin Ledge-Massachusetts Bay
010900011009,Quincy Bay
010900011010,Strawberry Ledge-Massachusetts Bay
010900011011,Aaron River-Cohasset Harbor
010900020101,Headwaters Indian Head River
010900020102,Indian Head River-North River
010900040102,Matfield River
